2015-08-28,70,EAST BUFFET,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18195&InspNbr=43,18195,43
2015-09-09,83,IHOP #4418,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=9356&InspNbr=56,9356,56
2015-09-24,81,BIG DADDYS BAR-B-Q,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=16856&InspNbr=39,16856,39
2015-09-24,81,PTs GRILL & PUB,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21157&InspNbr=11,21157,11
2015-09-28,80,SAN MIGUEL MEXICAN RESTAURANT,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18686&InspNbr=27,18686,27
2015-09-29,81,TRIPLE M FOOD STORE,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18937&InspNbr=29,18937,29
2015-10-07,80,RALLYS #4187,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18275&InspNbr=43,18275,43
2015-10-09,84,KRISPY KREME DOUGHNUT CORPORATION,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21106&InspNbr=5,21106,5
2015-10-16,84,"ABC DAYCARE & KINDERGARTEN,INC",http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=3014&InspNbr=34,3014,34
2015-10-20,82,SONIC DRIVE-IN,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=13526&InspNbr=47,13526,47
2015-10-21,81,JIM N NICKS - SHUTTLESWORTH INTL AIRPORT,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20151&InspNbr=27,20151,27
2015-10-27,70,Hyatt Regency- WYNFREY HOTEL: RESTAURANT KITCHEN,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=6352&InspNbr=39,6352,39
2015-10-26,83,GOLF COURSE CHEVRON,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21777&InspNbr=2,21777,2
2015-10-27,82,DAYLIGHT DONUTS,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21322&InspNbr=4,21322,4
2015-10-28,80,JIM N NICKS,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=5404&InspNbr=39,5404,39
2015-10-29,82,SALVATORES PIZZA & PASTA,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19479&InspNbr=18,19479,18
2015-11-02,83,THE SHACK,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21465&InspNbr=5,21465,5
2015-11-02,74,SOUTHWEST SUPERMARKET,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=17858&InspNbr=19,17858,19
2015-11-04,83,RIME HOTEL / MAGNOLIA GRILLE,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=9624&InspNbr=36,9624,36
2015-11-03,81,THE RIDGE EAT & DRINK,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19575&InspNbr=13,19575,13
2015-10-28,77,LA CATRINA MEXICAN CANTINA HOMEWOOD,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20609&InspNbr=32,20609,32
2015-11-05,62,MCDONALDS #2090,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20527&InspNbr=9,20527,9
2015-11-09,75,K & N FOODMART,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21547&InspNbr=1,21547,1
2015-11-09,82,TAIPEI 101  SUSHI & ASIAN BISTRO,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19656&InspNbr=21,19656,21
